akt.citace;akt.název.vyhlášený;short_name;core_weak;core_strong;length;valid_from;n_ver;av_ver_life;int_n;ext_n;autonomy_coeff;int_link_dens;ext_link_dens;degree_in;degree_in_mult;degree_out;degree_out_mult;harmonic_centrality_in;harmonic_centrality_out;harmonic_centrality_all;knn_in;knn_out;knn_all;transitivity;page_rank_normal;hub_score;authority_score;betweenness;eigen_centrality;burt_constraint
247/1995 Sb.;Zákon o volbách do Parlamentu České republiky a o změně a doplnění některých dalších zákonů;Zákon o volbách do Parlamentu;TRUE;TRUE;1082;1995-10-30;28;365,2857142857143;299;33;0,9006024096385542;0,27634011090573013;0,030499075785582256;14;21;21;33;212,471031746032338;192,0011904761908283;288,534559884561020;13,000000000000000;25,5151515151515156;61,44444444444444;0,2571428571428571;0,000742024774517303;1,21607761724837e-03;1,57142343848450e-04;1,07972935971174e+03;1,63419325840733e-03;0,0783704973892276
59/1996 Sb.;Zákon o sídle Parlamentu České republiky;Zákon o sídle Parlamentu;TRUE;TRUE;50;1996-03-01;1;10168,0000000000000;3;3;0,5000000000000000;0,06000000000000000;0,059999999999999998;2;3;2;3;114,355032467533789;134,8226190476190425;205,667994505493311;0,666666666666667;21,3333333333333321;32,66666666666666;0,8333333333333334;0,000278817084758847;3,02492142685940e-05;9,23875138157560e-06;2,65242857142857e+02;6,21708674309677e-05;0,6544561274348132
91/1996 Sb.;Zákon o krmivech;Zákon o krmivech;TRUE;TRUE;315;1996-04-25;18;563,9436274509804;48;15;0,7619047619047619;0,15238095238095239;0,047619047619047616;9;19;9;15;161,282251082250070;182,5452380952377496;268,753968253970982;26,736842105263158;46,4666666666666686;86,44117647058823;0,3594771241830065;0,000620398156617830;6,60677939904879e-04;2,96356458784758e-04;1,12803137350002e+02;4,02995015471587e-03;0,1557999177024401
97/1996 Sb.;Zákon o ochraně chmele;Zákon o ochraně chmele;TRUE;TRUE;147;1996-04-26;10;1072,6666666666667;32;12;0,7272727272727273;0,21768707482993196;0,081632653061224483;6;8;6;12;182,875396825395711;147,8908730158723586;237,400534188034896;26,625000000000000;23,6666666666666679;80,65000000000001;0,3030303030303030;0,000388077021504828;1,12154246653645e-03;1,75649037589571e-04;1,02567829703976e+02;9,87928068955243e-04;0,2552720017835046
12/1997 Sb.;Zákon o bezpečnosti a plynulosti provozu na pozemních komunikacích;Zákon o provozu na pozemních komunikacích;TRUE;TRUE;12;1997-02-21;5;1962,2000000000000;0;2;0,0000000000000000;0,00000000000000000;0,166666666666666657;1;1;2;2;173,857539682538658;145,4396825396818258;229,633134920635655;99,000000000000000;17,0000000000000000;74,00000000000000;0,0000000000000000;0,000303752969175682;2,86951719380853e-06;6,31475026368711e-05;1,30987216180735e+01;1,04009305199655e-03;0,3333333333333333
18/1997 Sb.;Zákon o mírovém využívání jaderné energie a ionizujícího záření (atomový zákon) a o změně a doplnění některých zákonů;Atomový zákon;TRUE;TRUE;48;1997-02-26;29;333,8290229885058;7;4;0,6363636363636364;0,14583333333333334;0,083333333333333329;29;42;3;4;227,439682539684043;155,6242063492055081;279,738888888891324;42,142857142857146;54,0000000000000000;89,26086956521739;0,3266129032258064;0,001638450913023646;9,67219429644940e-04;1,03769808531671e-03;1,69646773082630e+02;1,62382398923350e-02;0,0595743411902006
19/1997 Sb.;Zákon o některých opatřeních souvisejících se zákazem chemických zbraní a o změně a doplnění zákona č. 50/1976 Sb., o územním plánování a stavebním řádu (stavební zákon), ve znění pozdějších předpisů, zákona č. 455/1991 Sb., o živnostenském podnikání (živnostenský zákon), ve znění pozdějších předpisů, a zákona č. 140/1961 Sb., trestní zákon, ve znění pozdějších předpisů;Zákon o zákazu chemických zbraní;TRUE;TRUE;332;1997-02-26;12;817,1666666666666;94;8;0,9215686274509803;0,28313253012048195;0,024096385542168676;6;9;7;8;196,856746031745757;169,1273809523799798;260,861111111113871;32,111111111111114;19,7500000000000000;89,82352941176471;0,2307692307692308;0,000522085639379645;2,77790121065629e-04;1,12612503398117e-04;2,42772636678605e+02;2,49467819654890e-03;0,1336082996414353
22/1997 Sb.;Zákon o technických požadavcích na výrobky a o změně a doplnění některých zákonů;Zákon o technických požadavcích na výrobky;TRUE;TRUE;365;1997-02-27;24;418,1757246376812;121;13;0,9029850746268657;0,33150684931506852;0,035616438356164383;39;77;13;13;231,666269841271685;196,4940476190483309;309,122222222220898;25,272727272727273;34,0000000000000000;62,21111111111111;0,2066365007541478;0,002682892507700284;9,11531976593308e-04;1,48077180869328e-03;1,39665296782064e+03;1,29353403795821e-02;0,0616073153889929
61/1997 Sb.;Zákon o lihu a o změně a doplnění zákona č. 455/1991 Sb., o živnostenském podnikání (živnostenský zákon), ve znění pozdějších předpisů, a zákona České národní rady č. 587/1992 Sb., o spotřebních daních, ve znění pozdějších předpisů, (zákon o lihu);Zákon o lihu;TRUE;TRUE;297;1997-04-03;16;605,0651041666666;163;24;0,8716577540106952;0,54882154882154888;0,080808080808080815;6;18;7;24;169,134920634919808;170,7218253968244142;249,010912698414444;24,388888888888889;39,7916666666666643;70,16666666666667;0,2307692307692308;0,000771138354667060;5,66047208462688e-04;1,57613796240241e-04;5,44812101229090e+02;1,99511192912421e-03;0,4394125041112616
110/1997 Sb.;Zákon o potravinách a tabákových výrobcích a o změně a doplnění některých souvisejících zákonů;Zákon o potravinách a tabákových výrobcích;TRUE;TRUE;913;1997-05-19;40;246,6164529914530;494;27;0,9481765834932822;0,54107338444687847;0,029572836801752465;26;81;19;27;203,148015873015737;196,1095238095244895;293,322222222222649;21,493827160493826;30,0370370370370381;63,84259259259260;0,2000000000000000;0,002017054594659019;1,42528785953048e-03;1,79448852372166e-03;7,80594860614497e+02;1,23454093660188e-02;0,0899157001456592
201/1997 Sb.;Zákon o platu a některých dalších náležitostech státních zástupců;Zákon o platu státních zástupců;TRUE;TRUE;104;1997-08-28;20;506,2127192982456;18;30;0,3750000000000000;0,17307692307692307;0,288461538461538436;5;5;10;30;201,174603174602993;165,2396825396815245;266,322222222225548;42,399999999999999;34,5666666666666700;81,88571428571429;0,3047619047619047;0,000515299072773014;2,25847820292964e-03;5,87230897722648e-05;3,77385985785163e+02;3,59144677593108e-03;0,2157248429200657
15/1998 Sb.;Zákon o Komisi pro cenné papíry a o změně a doplnění dalších zákonů;Zákon o dohledu v oblasti kapitálového trhu;TRUE;TRUE;294;1998-02-06;37;254,2443693693694;67;16;0,8072289156626506;0,22789115646258504;0,054421768707482991;8;17;12;16;185,912301587300703;172,8730158730149356;256,818055555557862;17,647058823529413;26,9375000000000000;75,63636363636364;0,2368421052631579;0,000813854949316956;5,68200889438530e-04;2,63133050464333e-04;6,96100364120483e+02;2,54069618427607e-03;0,1197781348180705
